"Model","StateNum","Probability.Cut.Off","Granularity","Window.Size","Sample.Size","BinNum","Avg.Cycle.Usage","Agg.Cycle.Usage","Avg.Survival.Rate","Agg.Survival.Rate","Correctly.Scheduled","Correctly.Unscheduled"
"AR1",0,0.0025,0,12,100,0,NA,NA,NA,NA,NA,NA
"AR1",0,0.005,0,12,100,0,0.29050628688171,0.309150501404733,0.96359979052706,0.96915340738517,0.2,0.668073520778932
"AR1",0,0.01,0,12,100,0,0.324450137768077,0.344959666993513,0.95841257212054,0.96432800473653,0.333333333333333,0.668317032177065
"AR1",0,0.1,0,12,100,0,0.466411970856045,0.491494590235336,0.914154521465936,0.916279365887821,0.595289079229122,0.678253436120853
"AR1",0,0.0025,0.78125,12,100,0,NA,NA,NA,NA,NA,NA
"AR1",0,0.005,0.78125,12,100,0,0.288542899529438,0.307153407828534,0.964111619133624,0.969637610186092,0.166666666666667,0.70242643524024
"AR1",0,0.01,0.78125,12,100,0,0.322570298170229,0.343057818770653,0.959315226431497,0.965279323391943,0.263157894736842,0.702635255527658
"AR1",0,0.1,0.78125,12,100,0,0.465619007091204,0.490869451822437,0.914175893395062,0.917699746868307,0.587053571428571,0.712715766727549
"AR1",0,0.0025,1.5625,12,100,0,NA,NA,NA,NA,NA,NA
"AR1",0,0.005,1.5625,12,100,0,0.286314354421232,0.304901479652835,0.964811954321636,0.970318770349057,0.142857142857143,0.726931406480863
"AR1",0,0.01,1.5625,12,100,0,0.320528673953615,0.341041205711973,0.959552918510355,0.965499293627779,0.257142857142857,0.727149408298999
"AR1",0,0.1,1.5625,12,100,0,0.4646906004773,0.4901660178346,0.91619085771268,0.919663251321543,0.578828828828829,0.73742381772829
"AR1",0,0.0025,3.125,12,100,0,NA,NA,NA,NA,NA,NA
"AR1",0,0.005,3.125,12,100,0,0.282411190493527,0.301032753372508,0.971316668790309,0.971500419111484,0.666666666666667,0.772758315416719
"AR1",0,0.01,3.125,12,100,0,0.316583595823742,0.33709041565723,0.965684608778908,0.966135904911415,0.285714285714286,0.772806387306342
"AR1",0,0.1,3.125,12,100,0,0.462701026886936,0.488502576414445,0.920906289313972,0.92419440042261,0.550161812297735,0.780055951351987
"AR1",0,0.005,0,12,100,0,NA,NA,NA,NA,NA,NA
