"","1633748","223811","1948107","1962655","586116","964155","1942922","929647","1338378","633346","1650389","1641245","1663289","618849","1054084","811237","955492","948898","8383","737498","1041019","1985204","948601","1331037","1669601","893041","847832","1102195","592977","1471895","1958442","948001","964235","1650226","8201","1546130","1221713","943424","706726","809906","611375","1547003","1946494","1545927","618853","2008368","943904","1633630","1114910","1023683","793205","1221771","1054467","715945","1054036","612046","1102397","358485","810877","1126","715737","1099406","1220694","943893","809838","1054436","817395","586036","706714","1220878","955414","1555181","1739024","1652570","1220941","1947988","807274","1475279","594559","965207","942980","715586","799526","1641403","1615370","1771782","1948338","1035359","780697","1061254","1938269","827636","1629198","605145","1053575","1947803","706990","1061169","282785","825849"
"6013",22,36,18,84,12,10,12,66,92,28,46,22,58,12,18,40,32,18,16,20,68,20,18,22,6,14,24,30,16,44,20,28,86,100,20,16,52,4,14,4,88,30,40,10,98,32,78,12,6,34,62,6,4,36,6,6,8,12,56,10,36,42,8,12,26,80,100,32,10,26,4,100,70,48,100,64,34,46,18,38,74,12,26,16,40,42,20,6,68,28,82,6,24,40,12,6,10,32,22,4
"6014",22,38,18,20,12,30,12,100,92,28,22,22,58,12,18,52,32,18,16,100,44,18,18,22,6,14,24,30,16,44,20,28,86,100,20,16,54,4,14,4,88,30,46,10,98,32,76,12,6,34,62,6,4,26,6,6,8,12,66,10,36,42,8,12,24,80,100,46,10,26,4,100,70,92,26,40,90,46,10,38,26,12,26,16,40,40,14,6,68,28,98,6,24,40,12,6,10,32,22,4
"6015",22,20,12,84,12,30,12,66,92,28,36,22,58,12,18,38,32,78,16,100,44,20,18,22,6,14,24,38,14,56,22,24,86,100,20,16,52,4,16,4,88,26,48,10,28,32,52,12,6,34,100,6,4,82,6,6,8,12,56,10,36,42,8,12,26,80,100,32,10,24,4,100,70,48,26,64,90,46,18,38,26,28,26,16,40,40,14,6,82,28,98,4,24,40,12,6,10,20,22,4
"6016",22,48,18,96,12,30,12,100,92,28,36,16,58,12,18,36,32,18,16,100,44,20,18,22,6,14,24,30,16,56,92,32,86,100,20,16,52,4,12,4,88,30,40,10,28,24,76,12,6,52,72,6,4,84,6,6,8,12,56,10,36,42,8,12,28,92,100,46,10,26,4,100,70,92,26,64,34,46,18,38,26,12,26,16,40,44,20,6,20,14,98,4,24,40,12,6,10,32,22,4
"6017",22,20,12,84,12,10,12,100,92,28,22,22,58,12,18,36,32,18,16,100,22,12,18,22,6,14,24,30,16,56,92,24,86,100,20,16,52,4,14,4,42,24,40,10,100,32,52,12,6,76,72,6,4,44,6,6,8,12,66,10,36,42,8,12,8,80,100,46,10,28,4,100,70,48,26,64,30,46,18,38,26,6,34,16,40,42,20,6,20,28,82,4,24,40,12,6,10,32,22,4
"6018",22,20,16,20,12,30,12,100,92,28,22,22,58,12,18,38,32,88,16,100,16,12,18,22,6,14,24,30,14,56,92,78,86,100,20,16,52,4,18,4,88,64,38,10,32,32,26,12,6,100,72,6,4,44,6,6,8,12,56,10,36,42,8,12,26,80,100,46,10,26,4,100,70,32,26,64,90,46,18,38,26,12,26,16,24,40,14,6,20,36,98,4,6,40,12,6,10,44,22,4
"6019",22,36,16,96,12,30,12,100,92,28,22,22,58,12,18,40,32,88,16,100,44,20,18,22,6,14,24,30,14,56,20,32,86,100,20,16,52,4,18,4,88,30,48,10,26,32,76,12,6,34,72,6,4,26,6,6,8,12,56,10,36,42,8,12,26,80,100,46,10,28,4,100,70,92,100,64,90,62,18,38,26,28,26,16,40,44,20,6,68,28,98,4,24,40,12,6,10,32,22,4
"6020",22,36,18,84,12,30,12,66,92,28,22,74,58,12,18,40,32,88,16,100,42,20,44,22,6,14,24,30,14,56,22,34,86,100,20,16,52,4,14,4,88,30,40,10,98,32,52,12,6,34,72,6,4,26,6,6,8,12,56,10,54,42,8,12,26,80,100,50,10,26,4,100,70,92,26,64,90,62,18,38,26,6,26,16,40,42,20,6,82,36,98,4,24,40,12,6,10,32,22,4
"6021",22,38,18,84,12,30,12,100,92,28,22,22,58,12,18,40,32,18,16,100,44,20,18,22,6,14,24,30,16,56,92,28,86,100,20,16,52,4,18,4,88,30,40,10,98,32,76,12,6,34,100,6,4,84,6,6,8,12,56,10,36,42,8,12,26,80,100,46,10,100,4,100,70,30,26,64,90,100,10,38,26,6,34,16,40,44,20,6,68,28,98,4,24,40,12,6,10,32,22,4
"6022",22,38,18,84,12,30,12,50,92,28,46,22,58,12,18,36,32,88,16,100,44,20,18,22,6,14,24,30,16,56,92,78,86,100,20,16,52,4,14,4,88,30,48,10,28,32,76,12,6,34,100,6,4,82,6,6,8,12,56,10,36,42,8,12,26,80,100,46,10,26,4,100,70,30,26,40,90,46,18,38,26,12,26,16,40,96,14,6,82,28,98,4,6,40,12,6,10,32,22,4
"6023",22,20,18,96,12,30,12,64,92,28,22,22,58,12,18,52,32,18,16,36,44,20,18,22,6,14,24,30,16,56,20,68,86,100,20,16,52,4,58,4,88,30,40,10,28,32,52,12,6,34,100,6,4,44,6,6,8,12,56,10,36,42,8,12,26,92,100,46,10,10,4,100,70,92,26,64,86,46,18,56,26,12,26,16,76,40,14,6,82,36,72,4,24,40,12,6,10,32,22,4
"6024",22,36,18,84,12,30,12,64,92,28,22,22,58,12,18,40,32,18,16,36,44,20,18,22,6,14,24,30,16,56,92,78,86,100,20,16,52,4,14,4,88,30,20,10,98,32,76,12,6,34,72,6,4,44,6,6,8,12,66,10,36,42,8,12,26,26,100,46,10,26,4,100,70,32,100,64,90,46,18,38,26,12,26,16,40,44,20,6,82,28,82,4,24,40,12,6,10,32,22,4
"6025",22,38,12,84,12,30,18,46,92,28,22,74,58,12,18,40,32,18,16,34,44,20,18,22,6,14,24,30,22,56,92,22,86,100,20,16,80,4,14,4,88,20,46,10,32,32,52,12,6,34,100,6,4,44,6,6,8,12,66,10,36,42,8,12,8,92,100,46,10,26,4,100,70,32,26,64,66,46,18,38,26,6,34,16,80,44,14,6,82,28,98,4,24,40,12,6,10,20,22,4
"6026",22,38,16,84,12,30,12,64,92,28,22,22,58,12,18,20,32,18,12,38,44,20,18,22,6,14,24,30,16,56,92,34,86,100,20,16,52,4,14,4,88,30,48,10,98,32,22,12,6,34,100,6,4,44,6,6,8,12,56,10,36,42,8,12,26,92,100,46,10,26,4,100,70,92,26,64,34,46,18,38,26,28,26,16,22,44,14,6,82,28,98,4,24,40,12,6,10,20,22,4
"6027",22,38,18,84,12,30,12,64,92,28,22,22,58,12,54,36,32,18,16,36,44,20,14,22,6,14,24,30,16,56,92,78,86,100,20,16,52,4,14,4,88,30,48,10,26,32,52,12,6,34,72,6,4,44,6,6,8,12,56,10,36,42,8,12,26,80,100,40,10,26,4,100,70,32,100,64,86,50,18,38,26,28,34,16,24,42,14,6,82,36,98,4,24,40,12,6,10,32,22,4
"6028",22,38,18,84,12,30,12,66,92,28,44,74,58,12,18,52,32,88,16,38,22,20,18,22,6,14,24,38,14,56,22,78,86,100,20,16,52,4,18,4,88,30,48,10,98,32,52,12,6,34,62,6,4,82,6,6,8,12,66,10,54,42,8,12,26,80,100,46,10,26,4,100,70,48,26,64,90,46,18,38,26,28,26,16,76,40,14,6,82,28,82,4,24,40,12,6,10,32,22,4
