"Model","StateNum","Probability.Cut.Off","Granularity","Window.Size","Sample.Size","BinNum","Training.Size","Update.Freq","Avg.Cycle.Usage","Agg.Cycle.Usage","Avg.Survival.Rate","Agg.Survival.Rate","Correctly.Scheduled","Correctly.Unscheduled"
"AR1",0,0.0025,0,12,100,0,2000,36,NA,NA,NA,NA,NA,NA
"AR1",0,0.0025,0,12,100,0,4000,36,NA,NA,NA,NA,NA,NA
"AR1",0,0.0025,0,12,100,0,2000,108,NA,NA,NA,NA,NA,NA
"AR1",0,0.0025,0,12,100,0,4000,108,NA,NA,NA,NA,NA,NA
"AR1",0,0.005,0,12,100,0,2000,36,0.306127592032145,0.323848797322013,0.941037965593387,0.961630878370647,0.828571428571429,0.709301974973617
"AR1",0,0.0025,0,12,3000,0,4000,36,NA,NA,NA,NA,NA,NA
"AR1",0,0.005,0,12,100,0,3000,36,0.303679851074009,0.321307312724346,0.953389903714951,0.964613127979465,0.888888888888889,0.688572153918689
"AR1",0,0.005,0,12,100,0,4000,36,0.303017102777526,0.320426538071227,0.948790655469619,0.96676497277677,0.857142857142857,0.68127508003066
"AR1",0,0.0025,0,36,100,0,2000,36,NA,NA,NA,NA,NA,NA
"AR1",0,0.01,0,12,100,0,2000,36,0.337150914652039,0.356452393843928,0.932257365202977,0.954622100648256,0.814814814814815,0.70958788390756
"AR1",0,0.0025,0,36,100,0,2000,108,NA,NA,NA,NA,NA,NA
"AR1",0,0.01,0,12,100,0,3000,36,0.335626591308312,0.354858545521991,0.94735936576968,0.958055204762764,0.925,0.688896952104499
"AR1",0,0.01,0,12,100,0,4000,36,0.3350131209215,0.35400274250679,0.942280968330814,0.958475191159234,0.892857142857143,0.681490167779181
"AR1",0,0.0025,0,36,3000,0,4000,36,NA,NA,NA,NA,NA,NA
"AR1",0,0.1,0,12,100,0,2000,36,0.463228219767269,0.485749441270159,0.887124880143418,0.889693755457103,0.897590361445783,0.714859437751004
"AR1",0,0.0025,0,36,3000,0,4000,108,NA,NA,NA,NA,NA,NA
"AR1",0,0.1,0,12,100,0,3000,36,0.464625496593113,0.487177187905432,0.886310206975425,0.894389182468138,0.926640926640927,0.693829779452105
"AR1",0,0.1,0,12,100,0,4000,36,0.46705176097499,0.489587210860393,0.888162384004147,0.894269533499712,0.946666666666667,0.687189988623436
"AR1",0,0.0025,0.78125,12,100,0,2000,108,NA,NA,NA,NA,NA,NA
"AR1",0,0.0025,0.78125,12,100,0,4000,108,NA,NA,NA,NA,NA,NA
"AR1",0,0.0025,0.78125,12,3000,0,2000,36,NA,NA,NA,NA,NA,NA
"AR1",0,0.0025,0.78125,12,3000,0,4000,36,NA,NA,NA,NA,NA,NA
"AR1",0,0.0025,0.78125,12,3000,0,2000,108,NA,NA,NA,NA,NA,NA
"AR1",0,0.0025,0.78125,12,3000,0,4000,108,NA,NA,NA,NA,NA,NA
"AR1",0,0.0025,0.78125,36,100,0,2000,36,NA,NA,NA,NA,NA,NA
"AR1",0,0.0025,0.78125,36,100,0,4000,36,NA,NA,NA,NA,NA,NA
"AR1",0,0.0025,0.78125,36,100,0,2000,108,NA,NA,NA,NA,NA,NA
"AR1",0,0.0025,0.78125,36,100,0,4000,108,NA,NA,NA,NA,NA,NA
"AR1",0,0.0025,0.78125,36,3000,0,2000,36,NA,NA,NA,NA,NA,NA
"AR1",0,0.0025,0.78125,36,3000,0,4000,36,NA,NA,NA,NA,NA,NA
"AR1",0,0.0025,0.78125,36,3000,0,2000,108,NA,NA,NA,NA,NA,NA
"AR1",0,0.0025,0.78125,36,3000,0,4000,108,NA,NA,NA,NA,NA,NA
"AR1",0,0.0025,1.5625,12,100,0,2000,36,NA,NA,NA,NA,NA,NA
"AR1",0,0.0025,1.5625,12,100,0,4000,36,NA,NA,NA,NA,NA,NA
"AR1",0,0.0025,1.5625,12,100,0,2000,108,NA,NA,NA,NA,NA,NA
"AR1",0,0.0025,1.5625,12,100,0,4000,108,NA,NA,NA,NA,NA,NA
"AR1",0,0.0025,1.5625,12,3000,0,2000,36,NA,NA,NA,NA,NA,NA
"AR1",0,0.0025,1.5625,12,3000,0,4000,36,NA,NA,NA,NA,NA,NA
"AR1",0,0.0025,1.5625,12,3000,0,2000,108,NA,NA,NA,NA,NA,NA
"AR1",0,0.005,1.5625,12,100,0,2000,36,0.302358174045659,0.32002694776592,0.95269919080643,0.962856154112354,0.9,0.764124208622249
"AR1",0,0.0025,1.5625,36,100,0,2000,36,NA,NA,NA,NA,NA,NA
"AR1",0,0.005,1.5625,12,100,0,3000,36,0.299971097349009,0.317551603908965,0.965797394177263,0.966205908187324,0.96,0.746835902085222
"AR1",0,0.005,1.5625,12,100,0,4000,36,0.299080736647187,0.316428083418848,0.960752764321532,0.968048013718205,0.894736842105263,0.740002705017808
"AR1",0,0.0025,1.5625,36,100,0,4000,108,NA,NA,NA,NA,NA,NA
"AR1",0,0.01,1.5625,12,100,0,2000,36,0.333748292772966,0.352978351008291,0.943170230510292,0.956438180653427,0.84,0.764434389140272
"AR1",0,0.0025,1.5625,36,3000,0,4000,36,NA,NA,NA,NA,NA,NA
"AR1",0,0.01,1.5625,12,100,0,3000,36,0.331970757863254,0.351165941874783,0.948369532444587,0.959681072755278,0.921052631578947,0.747115593933677
"AR1",0,0.01,1.5625,12,100,0,4000,36,0.331512304753973,0.350493998640793,0.952770519497607,0.960289416119805,0.925925925925926,0.740269697379696
"AR1",0,0.0025,3.125,12,100,0,2000,36,NA,NA,NA,NA,NA,NA
"AR1",0,0.1,1.5625,12,100,0,2000,36,0.46227044914473,0.485051905921461,0.868570751693815,0.894993251917443,0.899082568807339,0.770115292185076
"AR1",0,0.0025,3.125,12,100,0,2000,108,NA,NA,NA,NA,NA,NA
"AR1",0,0.1,1.5625,12,100,0,3000,36,0.4638158406807,0.486617086172935,0.891984135366639,0.900375716828159,0.928571428571429,0.752413339183853
"AR1",0,0.1,1.5625,12,100,0,4000,36,0.466161240468005,0.489068130927916,0.893314985288709,0.899745571973774,0.95475113122172,0.746439783429637
"AR1",0,0.0025,3.125,12,3000,0,4000,36,NA,NA,NA,NA,NA,NA
"AR1",0,0.0025,3.125,12,3000,0,2000,108,NA,NA,NA,NA,NA,NA
"AR1",0,0.0025,3.125,12,3000,0,4000,108,NA,NA,NA,NA,NA,NA
"AR1",0,0.0025,3.125,36,100,0,2000,36,NA,NA,NA,NA,NA,NA
"AR1",0,0.0025,3.125,36,100,0,4000,36,NA,NA,NA,NA,NA,NA
"AR1",0,0.005,3.125,12,100,0,2000,36,0.298585223053203,0.316251055589714,0.965143409659492,0.964992211838006,0.923076923076923,0.802495930548019
"AR1",0,0.0025,3.125,36,100,0,4000,108,NA,NA,NA,NA,NA,NA
"AR1",0,0.005,3.125,12,100,0,3000,36,0.295986702004517,0.313555340773207,0.966886684050874,0.967360299275193,1,0.790760081230055
"AR1",0,0.005,3.125,12,100,0,4000,36,0.295089570208843,0.312455050848941,0.969469254212808,0.96951995373048,1,0.78517016001803
"AR1",0,0.0025,3.125,36,3000,0,2000,108,NA,NA,NA,NA,NA,NA
"AR1",0,0.01,3.125,12,100,0,2000,36,0.330085510983667,0.349341286505545,0.953199410148695,0.957979690815399,0.847826086956522,0.80282922121011
"AR1",0,0.005,0,12,100,0,2000,36,NA,NA,NA,NA,NA,NA
"AR1",0,0.01,3.125,12,100,0,3000,36,0.328356919603969,0.347556486097633,0.961005362364079,0.961485932805244,0.96969696969697,0.790981971197446
"AR1",0,0.01,3.125,12,100,0,4000,36,0.327872023669422,0.34691401574918,0.956446095977753,0.962182269063856,0.956521739130435,0.785408305902512
"AR1",0,0.005,0,12,100,0,4000,108,NA,NA,NA,NA,NA,NA
"AR1",0,0.1,3.125,12,100,0,2000,36,0.460541886542137,0.483651791887458,0.899803529934065,0.899694128598976,0.906148867313916,0.808579854671491
"AR1",0,0.005,0,12,3000,0,4000,36,NA,NA,NA,NA,NA,NA
"AR1",0,0.1,3.125,12,100,0,3000,36,0.462167108409364,0.485371640140829,0.8961051092468,0.905045816493938,0.94170403587444,0.796033166526646
"AR1",0,0.1,3.125,12,100,0,4000,36,0.464475687126313,0.487737826015224,0.897538869324179,0.904891573423111,0.942708333333333,0.790985096328608
"AR1",0,0.005,0,36,100,0,2000,36,NA,NA,NA,NA,NA,NA
"AR1",0,0.005,0,36,100,0,4000,36,NA,NA,NA,NA,NA,NA
"AR1",0,0.005,0,36,100,0,2000,108,NA,NA,NA,NA,NA,NA
"AR1",0,0.005,0,36,100,0,4000,108,NA,NA,NA,NA,NA,NA
"AR1",0,0.005,0,36,3000,0,2000,36,NA,NA,NA,NA,NA,NA
"AR1",0,0.005,0,36,3000,0,4000,36,NA,NA,NA,NA,NA,NA
"AR1",0,0.005,0,36,100,0,2000,108,0.152491174873551,0.162589637575507,0.946832596119647,0.950907150480256,1,0.881534684971361
"AR1",0,0.005,0,36,100,0,3000,108,0.148877855553406,0.159070989077078,0.935485416699319,0.936983842010772,0,0.874117902826824
"AR1",0,0.005,0.78125,12,100,0,2000,36,NA,NA,NA,NA,NA,NA
"AR1",0,0.005,0,36,100,0,4000,108,0.144075882054655,0.153073507429343,0.942341257923662,0.960529370791734,1,0.872127602054609
"AR1",0,0.005,0.78125,12,100,0,2000,108,NA,NA,NA,NA,NA,NA
"AR1",0,0.01,0,36,100,0,2000,108,0.179131805708726,0.190703085047848,0.935157158968833,0.939970322406583,1,0.881935601237038
"AR1",0,0.01,0,36,100,0,3000,108,0.174595393109865,0.185524043583313,0.948082331624103,0.950195950359242,1,0.875312533971084
"AR1",0,0.005,0.78125,12,3000,0,4000,36,NA,NA,NA,NA,NA,NA
"AR1",0,0.01,0,36,100,0,4000,108,0.171967076930887,0.182687915302198,0.94956762820302,0.952732349421619,0.833333333333333,0.872464160129835
"AR1",0,0.005,0.78125,12,3000,0,4000,108,NA,NA,NA,NA,NA,NA
"AR1",0,0.1,0,36,100,0,2000,108,0.311717269846049,0.329364008815364,0.869707222474168,0.869489081170169,0.893333333333333,0.886773455377574
"AR1",0,0.1,0,36,100,0,3000,108,0.310335791549746,0.327585585450065,0.869272702433317,0.871164119766431,0.95,0.880634573304158
"AR1",0,0.005,0.78125,36,100,0,2000,108,NA,NA,NA,NA,NA,NA
"AR1",0,0.1,0,36,100,0,4000,108,0.314381984018429,0.332227889351041,0.876638759809683,0.882334869431644,0.916666666666667,0.877040261153428
"AR1",0,0.005,0.78125,36,3000,0,2000,36,NA,NA,NA,NA,NA,NA
"AR1",0,0.005,0.78125,36,3000,0,4000,36,NA,NA,NA,NA,NA,NA
"AR1",0,0.005,0.78125,36,3000,0,2000,108,NA,NA,NA,NA,NA,NA
"AR1",0,0.005,0.78125,36,3000,0,4000,108,NA,NA,NA,NA,NA,NA
"AR1",0,0.005,1.5625,12,100,0,2000,36,NA,NA,NA,NA,NA,NA
"AR1",0,0.005,1.5625,12,100,0,4000,36,NA,NA,NA,NA,NA,NA
"AR1",0,0.005,1.5625,12,100,0,2000,108,NA,NA,NA,NA,NA,NA
"AR1",0,0.005,1.5625,12,100,0,4000,108,NA,NA,NA,NA,NA,NA
"AR1",0,0.005,1.5625,12,3000,0,2000,36,NA,NA,NA,NA,NA,NA
"AR1",0,0.005,1.5625,12,3000,0,4000,36,NA,NA,NA,NA,NA,NA
"AR1",0,0.005,1.5625,12,3000,0,2000,108,NA,NA,NA,NA,NA,NA
"AR1",0,0.005,1.5625,12,3000,0,4000,108,NA,NA,NA,NA,NA,NA
"AR1",0,0.005,1.5625,36,100,0,2000,36,NA,NA,NA,NA,NA,NA
"AR1",0,0.005,1.5625,36,100,0,4000,36,NA,NA,NA,NA,NA,NA
"AR1",0,0.005,1.5625,36,100,0,2000,108,NA,NA,NA,NA,NA,NA
"AR1",0,0.005,1.5625,36,100,0,4000,108,NA,NA,NA,NA,NA,NA
"AR1",0,0.005,1.5625,36,3000,0,2000,36,NA,NA,NA,NA,NA,NA
"AR1",0,0.005,1.5625,36,3000,0,4000,36,NA,NA,NA,NA,NA,NA
"AR1",0,0.005,1.5625,36,3000,0,2000,108,NA,NA,NA,NA,NA,NA
"AR1",0,0.005,1.5625,36,3000,0,4000,108,NA,NA,NA,NA,NA,NA
"AR1",0,0.005,3.125,12,100,0,2000,36,NA,NA,NA,NA,NA,NA
"AR1",0,0.005,1.5625,36,100,0,2000,108,0.148989576995402,0.159032008778184,0.941744465747706,0.951412429378531,1,0.897899809073552
"AR1",0,0.005,3.125,12,100,0,2000,108,NA,NA,NA,NA,NA,NA
"AR1",0,0.005,3.125,12,100,0,4000,108,NA,NA,NA,NA,NA,NA
"AR1",0,0.005,1.5625,36,100,0,4000,108,0.140357021088579,0.149245547447845,0.952952618807296,0.961482203803023,1,0.885644768856448
"AR1",0,0.005,3.125,12,3000,0,4000,36,NA,NA,NA,NA,NA,NA
"AR1",0,0.01,1.5625,36,100,0,2000,108,0.175816638061134,0.18734824055104,0.935601797671855,0.942008486562942,1,0.898308168091686
"AR1",0,0.01,1.5625,36,100,0,3000,108,0.170479047031766,0.181345681219677,0.948335056453292,0.951035781544256,1,0.890314164583107
"AR1",0,0.005,3.125,36,100,0,2000,36,NA,NA,NA,NA,NA,NA
"AR1",0,0.01,1.5625,36,100,0,4000,108,0.167986946947682,0.178611316566518,0.943143627653257,0.953483477162703,1,0.886004056795132
"AR1",0,0.005,3.125,36,100,0,2000,108,NA,NA,NA,NA,NA,NA
"AR1",0,0.1,1.5625,36,100,0,2000,108,0.309315643247482,0.327161807822904,0.871613168633816,0.873755220044973,0.891891891891892,0.90316675819147
"AR1",0,0.1,1.5625,36,100,0,3000,108,0.307803193891867,0.325359208943328,0.87161162454097,0.874695395664999,0.948275862068966,0.8955370816014
"AR1",0,0.005,3.125,36,3000,0,4000,36,NA,NA,NA,NA,NA,NA
"AR1",0,0.1,1.5625,36,100,0,4000,108,0.311132169375642,0.329207294277954,0.874739692686139,0.884962763428934,0.91304347826087,0.89039978243133
"AR1",0,0.005,3.125,36,3000,0,4000,108,NA,NA,NA,NA,NA,NA
"AR1",0,0.01,0,12,100,0,2000,36,NA,NA,NA,NA,NA,NA
"AR1",0,0.01,0,12,100,0,4000,36,NA,NA,NA,NA,NA,NA
